000075 | mem   | pc=0042 acc=6           z=0 n=0 irq=0 | acc <- mem[27]
000076 | fetch | pc=0043 acc=6           z=0 n=0 irq=0 | 0042: jnz 46
000077 | exec  | pc=0046 acc=6           z=0 n=0 irq=0 | jnz taken
000078 | fetch | pc=0047 acc=6           z=0 n=0 irq=0 | 0046: ld 27
000079 | addr  | pc=0047 acc=6           z=0 n=0 irq=0 | data address <- 27
000080 | mem   | pc=0047 acc=6           z=0 n=0 irq=0 | acc <- mem[27]
000081 | fetch | pc=0048 acc=6           z=0 n=0 irq=0 | 0047: jz 61
000082 | exec  | pc=0048 acc=6           z=0 n=0 irq=0 | jz skip
000083 | fetch | pc=0049 acc=6           z=0 n=0 irq=0 | 0048: mod 1
000084 | mem   | pc=0049 acc=6           z=0 n=0 irq=0 | operand <- mem[1]
000085 | exec  | pc=0049 acc=6           z=0 n=0 irq=0 | mod operands ready
000086 | alu   | pc=0049 acc=6           z=0 n=0 irq=0 | acc %= mem[1]
000087 | fetch | pc=0050 acc=6           z=0 n=0 irq=0 | 0049: add 4
000088 | mem   | pc=0050 acc=6           z=0 n=0 irq=0 | operand <- mem[4]
000089 | exec  | pc=0050 acc=54          z=0 n=0 irq=0 | acc += mem[4]
000090 | fetch | pc=0051 acc=54          z=0 n=0 irq=0 | 0050: stx 29
000091 | addr  | pc=0051 acc=54          z=0 n=0 irq=0 | ptr address <- 29
000092 | mem   | pc=0051 acc=54          z=0 n=0 irq=0 | address <- mem[29]
000093 | mem   | pc=0051 acc=54          z=0 n=0 irq=0 | mem[30] <- acc
000094 | fetch | pc=0052 acc=54          z=0 n=0 irq=0 | 0051: ld 29
000095 | addr  | pc=0052 acc=54          z=0 n=0 irq=0 | data address <- 29
000096 | mem   | pc=0052 acc=30          z=0 n=0 irq=0 | acc <- mem[29]
000097 | fetch | pc=0053 acc=30          z=0 n=0 irq=0 | 0052: add 0
000098 | mem   | pc=0053 acc=30          z=0 n=0 irq=0 | operand <- mem[0]
000099 | exec  | pc=0053 acc=31          z=0 n=0 irq=0 | acc += mem[0]
000100 | fetch | pc=0054 acc=31          z=0 n=0 irq=0 | 0053: st 29
000101 | addr  | pc=0054 acc=31          z=0 n=0 irq=0 | data address <- 29
000102 | mem   | pc=0054 acc=31          z=0 n=0 irq=0 | mem[29] <- acc
000103 | fetch | pc=0055 acc=31          z=0 n=0 irq=0 | 0054: ld 28
000104 | addr  | pc=0055 acc=31          z=0 n=0 irq=0 | data address <- 28
000105 | mem   | pc=0055 acc=0           z=1 n=0 irq=0 | acc <- mem[28]
000106 | fetch | pc=0056 acc=0           z=1 n=0 irq=0 | 0055: add 0
000107 | mem   | pc=0056 acc=0           z=1 n=0 irq=0 | operand <- mem[0]
000108 | exec  | pc=0056 acc=1           z=0 n=0 irq=0 | acc += mem[0]
000109 | fetch | pc=0057 acc=1           z=0 n=0 irq=0 | 0056: st 28
000110 | addr  | pc=0057 acc=1           z=0 n=0 irq=0 | data address <- 28
000111 | mem   | pc=0057 acc=1           z=0 n=0 irq=0 | mem[28] <- acc
000112 | fetch | pc=0058 acc=1           z=0 n=0 irq=0 | 0057: ld 27
000113 | addr  | pc=0058 acc=1           z=0 n=0 irq=0 | data address <- 27
000114 | mem   | pc=0058 acc=6           z=0 n=0 irq=0 | acc <- mem[27]
000115 | fetch | pc=0059 acc=6           z=0 n=0 irq=0 | 0058: div 1
000116 | mem   | pc=0059 acc=6           z=0 n=0 irq=0 | operand <- mem[1]
000117 | exec  | pc=0059 acc=6           z=0 n=0 irq=0 | div operands ready
000118 | alu   | pc=0059 acc=0           z=1 n=0 irq=0 | acc /= mem[1]
000119 | fetch | pc=0060 acc=0           z=1 n=0 irq=0 | 0059: st 27
000120 | addr  | pc=0060 acc=0           z=1 n=0 irq=0 | data address <- 27
000121 | mem   | pc=0060 acc=0           z=1 n=0 irq=0 | mem[27] <- acc
000122 | fetch | pc=0061 acc=0           z=1 n=0 irq=0 | 0060: jmp 46
000123 | exec  | pc=0046 acc=0           z=1 n=0 irq=0 | pc <- 46
000124 | fetch | pc=0047 acc=0           z=1 n=0 irq=0 | 0046: ld 27
000125 | addr  | pc=0047 acc=0           z=1 n=0 irq=0 | data address <- 27
000126 | mem   | pc=0047 acc=0           z=1 n=0 irq=0 | acc <- mem[27]
